ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: woostify_product_video_metabox,Handle,Images,Attribute 1 value(s),Attribute 2 value(s),Attribute 3 value(s),Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 1 visible,Attribute 2 visible,Attribute 3 visible,Attribute 1 global,Attribute 2 global,Attribute 3 global,Download 1 name,Download 1 URL,Attribute 1 name,Attribute 2 name,Attribute 3 name
200001,variation,0200001-100cm-none-none,,,,,,,,,taxable,,,9,5,,,0,1,1,1,,,,499,,,,,,0100003-P,,,,,,1,,piper-sideboard-wood,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0004__-05_103e713d-d31d-49c1-97fb-71043af493a3.jpg?v=1696834634,100cm,,,,,,,,,,,,,,Size,,
200002,variation,0200002-120cm-none-none,,,,,,,,,taxable,,,9,5,,,0,1,1,1,,,,559,,,,,,0100003-P,,,,,,1,,piper-sideboard-wood,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0003__3_14e95d36-55e7-4b18-98ac-449cd5412e74.jpg?v=1696834519,120cm,,,,,,,,,,,,,,Size,,
200003,variation,0200003-140cm-none-none,,,,,,,,,taxable,,,9,5,,,0,1,1,1,,,,599,,,,,,0100003-P,,,,,,1,,piper-sideboard-wood,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0001__-18.jpg?v=1696834519,140cm,,,,,,,,,,,,,,Size,,
200004,variation,0200004-158cm-none-none,,,,,,,,,taxable,,,9,5,,,0,1,1,1,,,,659,,,,,,0100003-P,,,,,,1,,piper-sideboard-wood,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0002__-16.jpg?v=1695712524,158cm,,,,,,,,,,,,,,Size,,
200005,variation,0200005-120cm-none-none,,,,,,,,,taxable,,,10,5,,,0,1,1,1,,,,599,,,,,,0100004-P,,,,,,1,,mila-sideboard-white,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0006__-02.jpg?v=1696834422,120cm,,,,,,,,,,,,,,Size,,
200006,variation,0200006-140cm-none-none,,,,,,,,,taxable,,,10,5,,,0,1,1,1,,,,659,,,,,,0100004-P,,,,,,1,,mila-sideboard-white,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0005__-05.jpg?v=1696834422,140cm,,,,,,,,,,,,,,Size,,
200007,variation,0200007-100cm-none-none,,,,,,,,,taxable,,,9,5,,,0,1,1,1,,,,459,,,,,,0100005-P,,,,,,1,,camila-sideboard-black,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0014__-05.jpg?v=1695712021,100cm,,,,,,,,,,,,,,Size,,
200008,variation,0200008-120cm-none-none,,,,,,,,,taxable,,,9,5,,,0,1,1,1,,,,499,,,,,,0100005-P,,,,,,1,,camila-sideboard-black,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0010__1.jpg?v=1695712021,120cm,,,,,,,,,,,,,,Size,,
200009,variation,0200009-140cm-none-none,,,,,,,,,taxable,,,9,5,,,0,1,1,1,,,,559,,,,,,0100005-P,,,,,,1,,camila-sideboard-black,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0012__-24.jpg?v=1695712022,140cm,,,,,,,,,,,,,,Size,,
200010,variation,0200010-160cm-none-none,,,,,,,,,taxable,,,9,5,,,0,1,1,1,,,,699,,,,,,0100005-P,,,,,,1,,camila-sideboard-black,https://cdn.shopify.com/s/files/1/0324/8268/9157/files/1_0013__-08.jpg?v=1695712022,160cm,,,,,,,,,,,,,,Size,,
