ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: woostify_product_video_metabox,Handle,Images,Attribute 1 value(s),Attribute 2 value(s),Attribute 3 value(s),Attribute 1 default,Attribute 2 default,Attribute 3 default,Attribute 1 visible,Attribute 2 visible,Attribute 3 visible,Attribute 1 global,Attribute 2 global,Attribute 3 global,Download 1 name,Download 1 URL,Attribute 1 name,Attribute 2 name,Attribute 3 name
0202414,variation,0202414-Grey-No-Gold,,,,,,,,,taxable,,,0.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,395.0,,,,,,0100450-P,,,,,Buy Now,1,,leslie-coffee-table,,Grey,No,Gold,,,,1,1,1,1,1,1,,,Table Top,Add Drawer,Leg Color
0202415,variation,0202415-Grey-Yes-Black,,,,,,,,,taxable,,,0.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,395.0,,,,,,0100450-P,,,,,Buy Now,1,,leslie-coffee-table,,Grey,Yes,Black,,,,1,1,1,1,1,1,,,Table Top,Add Drawer,Leg Color
0202416,variation,0202416-Grey-Yes-Gold,,,,,,,,,taxable,,,0.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,395.0,,,,,,0100450-P,,,,,Buy Now,1,,leslie-coffee-table,,Grey,Yes,Gold,,,,1,1,1,1,1,1,,,Table Top,Add Drawer,Leg Color
0202417,variation,0202417-B-none-none,,,,,,,,,taxable,,,0.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,489.0,,,,,,0100451-P,,,,,Buy Now,1,,barreras-coffee-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/17_3c593279-7b30-4495-b333-62aa490924ef.jpg?v=1676765517,B,,,,,,1,1,1,1,1,1,,,Coffee Table/ TV Stand,,
0202418,variation,0202418-C-none-none,,,,,,,,,taxable,,,0.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,559.0,,,,,,0100451-P,,,,,Buy Now,1,,barreras-coffee-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/SKU-2_bf07940e-e353-4e48-85e5-1a8910529a89.jpg?v=1676765520,C,,,,,,1,1,1,1,1,1,,,Coffee Table/ TV Stand,,
0202419,variation,0202419-D-none-none,,,,,,,,,taxable,,,0.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,469.0,,,,,,0100451-P,,,,,Buy Now,1,,barreras-coffee-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/1_82a604cd-0759-4c38-982a-ae71bd639b93.jpg?v=1676765522,D,,,,,,1,1,1,1,1,1,,,Coffee Table/ TV Stand,,
0202420,variation,0202420-E-none-none,,,,,,,,,taxable,,,0.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,399.0,,,,,,0100451-P,,,,,Buy Now,1,,barreras-coffee-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/SKU-18-_50_40_58.jpg?v=1676765524,E,,,,,,1,1,1,1,1,1,,,Coffee Table/ TV Stand,,
0202421,variation,0202421-F-none-none,,,,,,,,,taxable,,,0.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,1289.0,,,,,,0100451-P,,,,,Buy Now,1,,barreras-coffee-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/SKU-19-_50_40_72.jpg?v=1676765525,F,,,,,,1,1,1,1,1,1,,,Coffee Table/ TV Stand,,
0202422,variation,0202422-Pink-none-none,,,,,,,,,taxable,,,10.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,299.0,,,,,,0100452-P,,,,,Buy Now,1,,afar-side-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/SKU-2_b1d5b5ce-7382-4c29-9056-0292d324b838.jpg?v=1676765518,Pink,,,,,,1,1,1,1,1,1,,,Color,,
0202423,variation,0202423-White-none-none,,,,,,,,,taxable,,,10.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,299.0,,,,,,0100452-P,,,,,Buy Now,1,,afar-side-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/13_307c2263-8fdd-4bf5-be61-32ff8d371ce0.jpg?v=1676765520,White,,,,,,1,1,1,1,1,1,,,Color,,
0202424,variation,0202424-Green-none-none,,,,,,,,,taxable,,,10.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,299.0,,,,,,0100452-P,,,,,Buy Now,1,,afar-side-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/2_9d61b8b8-c4ff-4f9a-8e49-a5007296df1b.jpg?v=1676765521,Green,,,,,,1,1,1,1,1,1,,,Color,,
0202425,variation,0202425-Orange-none-none,,,,,,,,,taxable,,,10.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,299.0,,,,,,0100452-P,,,,,Buy Now,1,,afar-side-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/7.jpg?v=1676765523,Orange,,,,,,1,1,1,1,1,1,,,Color,,
0202426,variation,0202426-Brown-none-none,,,,,,,,,taxable,,,10.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,299.0,,,,,,0100452-P,,,,,Buy Now,1,,afar-side-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/4_ad8506d6-d8bf-4740-9f53-8e19c0d14684.jpg?v=1676765525,Brown,,,,,,1,1,1,1,1,1,,,Color,,
0202427,variation,0202427-1-Yes-none,,,,,,,,,taxable,,,21.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,1189.0,,,,,,0100453-P,,,,,Buy Now,1,,hagy-nesting-coffee-table-set-marble,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/SKU-2.jpg?v=1676765518,1,Yes,,,,,1,1,1,1,1,1,,,Style,With TV Stand,
0202428,variation,0202428-2-No-none,,,,,,,,,taxable,,,22.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,695.0,,,,,,0100453-P,,,,,Buy Now,1,,hagy-nesting-coffee-table-set-marble,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/1.jpg?v=1676765520,2,No,,,,,1,1,1,1,1,1,,,Style,With TV Stand,
0202429,variation,0202429-2-Yes-none,,,,,,,,,taxable,,,21.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,1189.0,,,,,,0100453-P,,,,,Buy Now,1,,hagy-nesting-coffee-table-set-marble,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/SKU-1_3344ea8b-4951-4a28-9752-abe32d9b92ce.jpg?v=1676765522,2,Yes,,,,,1,1,1,1,1,1,,,Style,With TV Stand,
0202430,variation,0202430-3-No-none,,,,,,,,,taxable,,,21.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,695.0,,,,,,0100453-P,,,,,Buy Now,1,,hagy-nesting-coffee-table-set-marble,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/SKU-3.jpg?v=1676765524,3,No,,,,,1,1,1,1,1,1,,,Style,With TV Stand,
0202431,variation,0202431-3-Yes-none,,,,,,,,,taxable,,,15.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,1189.0,,,,,,0100453-P,,,,,Buy Now,1,,hagy-nesting-coffee-table-set-marble,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/SKU-4.jpg?v=1676765525,3,Yes,,,,,1,1,1,1,1,1,,,Style,With TV Stand,
0202432,variation,0202432-4-No-none,,,,,,,,,taxable,,,15.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,695.0,,,,,,0100453-P,,,,,Buy Now,1,,hagy-nesting-coffee-table-set-marble,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/2.jpg?v=1676765527,4,No,,,,,1,1,1,1,1,1,,,Style,With TV Stand,
0202433,variation,0202433-4-Yes-none,,,,,,,,,taxable,,,15.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,1189.0,,,,,,0100453-P,,,,,Buy Now,1,,hagy-nesting-coffee-table-set-marble,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/3_23905ddc-b5e8-4620-9e53-c86dac28e48a.jpg?v=1676765529,4,Yes,,,,,1,1,1,1,1,1,,,Style,With TV Stand,
0202434,variation,0202434-Black-TV Stand-none,,,,,,,,,taxable,,,15.0,5,notify,1,0.0,1,1,1,1,Thanks for buying,,599.0,,,,,,0100454-P,,,,,Buy Now,1,,lacour-extendable-coffee-table,https://cdn.shopify.com/s/files/1/0324/8268/9157/products/SKU-1.jpg?v=1676765498,Black,TV Stand,,,,,1,1,1,1,1,1,,,Color,Coffee Table/ TV Stand,
